ID,SIRUTA,Yhat.HET
1423,167311,-0.035829566
1403,166529,-0.048000347
1417,167259,-0.066714221
1373,164543,-0.060013392
1374,164598,-0.048164454
1424,167320,-0.038826028
1416,167240,-0.041170395
1402,166413,-0.034548028
1546,175787,-0.070978308
1537,175260,-0.081360071
1529,174860,-0.034227584
1581,177879,-0.071650884
1573,177557,-0.019460915
1543,175670,-0.075700264
1550,176150,-0.034194688
1567,177236,-0.033552131
1570,177352,-0.019548944
1578,177762,-0.043673229
1571,177405,-0.052769447
1561,176793,-0.032398416
1579,177799,-0.05296169
1592,178545,-0.083912022
1589,178377,-0.067264531
1530,174922,-0.040105321
1533,175055,-0.028697054
1585,178180,-0.015465907
1588,178313,-0.068302205
1538,175368,-0.020326985
1595,178750,-0.059231654
1559,176686,-0.043670899
1572,177469,-0.050766866
1563,176891,-0.074470817
1565,177003,-0.048442049
1552,176212,-0.003806502
1556,176506,-0.004052695
1540,175466,-0.00810511
1532,175019,0.028587183
1593,178607,0.001907313
1534,175126,-0.059673469
1594,178689,0.019885934
1527,174780,0.069304929
1526,174744,0.017621089
1564,176944,-0.090451492
1569,177263,-0.043118332
1544,175732,-0.004474816
1554,176338,-0.055101355
1547,175885,0.003192166
1528,174824,-0.001216886
1596,178821,-0.058526245
1541,175509,-0.098983541
1590,178475,-0.081299952
1577,177726,-0.00519664
1549,175983,-0.0464617
1562,176855,-0.0654851
1557,176551,-0.080872824
1553,176301,-0.03271009
1582,177986,-0.062248358
1548,175938,-0.037331122
1539,175439,-0.053694753
1574,177600,-0.043420549
1558,176613,-0.094587798
1535,175206,-0.096489881
1575,177655,-0.009704835
1542,175590,-0.08895226
1601,178929,-0.012899759
1580,177842,-0.027902717
1602,178938,-0.039544963
1536,175224,-0.050021019
1597,178885,-0.083754086
1583,178046,-0.008873234
1603,178947,0.020079201
1584,178117,-0.061213099
1600,178910,-0.048939324
1555,176445,-0.070266338
1598,178894,-0.035540428
1587,178279,-0.036703186
1599,178901,-0.034479306
1560,176748,-0.025380066
1604,178956,-0.003047774
1566,177101,-0.071567312
1605,178965,-0.07781876
1448,169119,-0.044646264
1442,168755,-0.087597146
1520,174254,-0.026740141
1474,171021,-0.035058155
1430,167794,-0.055768367
1494,172509,-0.070113317
1441,168675,-0.053550974
1499,172894,0.011333047
1515,174021,-0.029125174
1429,167696,-0.068083153
1431,167909,-0.052497259
1433,168041,-0.069543242
1450,169253,-0.055071887
1481,171539,0.055293322
1439,168559,-0.052710072
1498,172812,-0.013023527
1452,169351,0.029979951
1444,168880,0.069092104
1504,173230,-0.028541403
1487,172082,0.052911286
1502,173061,-0.057946563
1463,170220,8.16296E-05
1513,173935,-0.063798729
1517,174156,0.029796032
1478,171272,-0.086428491
1445,168960,-0.020888924
1491,172340,-0.077996038
1434,168130,0.035698985
1507,173533,-0.03168001
1428,167641,-0.093761236
1475,171067,-0.056698382
1446,169039,-0.033666824
1486,171995,-0.039522414
1479,171325,-0.00534239
1485,171931,-0.038557553
1443,168791,0.009138404
1435,168229,-0.042393242
1459,169896,-0.033735469
1480,171469,-0.027287923
1449,169182,-0.05999984
1440,168602,-0.028732353
1492,172377,-0.060331077
1482,171628,-0.056359184
1460,169994,-0.001471859
1437,168372,-0.010336551
1453,169404,-0.087169323
1509,173686,-0.027803957
1501,172992,-0.066314194
1506,173374,-0.078049024
1496,172581,-0.066219229
1470,170792,-0.048179487
1497,172698,-0.042159269
1464,170346,-0.075848096
1490,172279,-0.046132533
1467,170514,-0.032582939
1469,170685,-0.082544308
1500,172947,-0.049664969
1483,171806,-0.06565822
1471,170872,-0.093532565
1462,170168,-0.063705848
1458,169681,-0.059216099
1455,169547,-0.063713431
1503,173132,-0.050296639
1512,173855,-0.060169916
1484,171879,-0.041913748
1436,168309,-0.100453087
1476,171101,-0.045798596
1465,170444,-0.10559366
1493,172457,-0.052715226
1461,170097,-0.089526955
1451,169306,-0.089688548
1516,174085,-0.079193638
1477,171209,-0.09544681
1438,168452,-0.074535032
1432,167981,-0.079273252
1472,170952,-0.078854731
1511,173793,-0.076785821
1510,173748,-0.026992647
1518,174218,-0.044127327
1468,170612,-0.081107228
1456,169583,-0.076780449
1523,174502,-0.082684819
1521,174290,-0.092665569
1524,174511,-0.109201602
1525,174520,-0.079014251
1508,173597,-0.026487648
1489,172153,-0.061422454
1522,174496,-0.059856314
1426,167473,0.055868171
1146,154308,-0.069056462
1111,153062,-0.065604706
1131,153696,-0.101744428
1154,154585,-0.110581506
1155,154665,-0.145502281
1140,154068,-0.104044542
1145,154282,-0.138722787
1098,152528,-0.132595215
1083,151996,-0.117299013
1085,152083,-0.054029194
1100,152582,-0.097416858
1104,152760,-0.138718779
1165,154978,-0.1517705
1153,154521,-0.102869581
1158,154754,-0.112951687
1080,151905,-0.073016429
1123,153437,-0.122974087
1119,153295,-0.063344988
1137,153972,-0.13512352
1110,153026,-0.075184627
1081,151932,-0.097635019
1103,152724,-0.108248041
1164,154932,-0.098529421
1121,153384,-0.094068691
1124,153473,-0.103216548
1142,154166,-0.10389593
1138,154013,-0.08545116
1149,154415,-0.130977508
1134,153865,-0.076470763
1125,153507,-0.07625271
1118,153277,-0.105877573
1106,152868,-0.097827271
1090,152270,-0.07633056
1094,152350,-0.087936357
1161,154852,-0.08621828
1079,151870,-0.125525244
1096,152467,-0.136041223
1126,153543,-0.104236453
1117,153240,-0.079993325
1159,154790,-0.105817413
1101,152617,-0.133784467
1129,153605,-0.09785129
1132,153776,-0.083293763
1076,151790,-0.093168091
1093,152332,-0.093179707
1095,152412,-0.146503035
1135,153909,-0.091341162
1077,151816,-0.046110631
1136,153936,-0.113060532
1120,153339,-0.072103623
1086,152127,-0.100596661
1133,153829,-0.119250157
1152,154497,-0.074202053
1078,151834,-0.07145227
1108,152948,-0.091810081
1160,154834,-0.074815711
1143,154184,-0.123218857
1089,152252,-0.120885099
1127,153561,-0.105102126
1075,151763,-0.112300257
1097,152500,-0.099609407
1148,154380,-0.10248046
1072,151683,-0.135235783
1112,153106,-0.119568816
1157,154736,-0.099560785
1099,152564,-0.109165585
1113,153124,-0.127888124
1141,154139,-0.101271975
1162,154914,-0.120132436
1109,152993,-0.085641914
1073,151709,-0.110543172
1088,152234,-0.086803707
1074,151736,-0.106025195
1128,153589,-0.10241778
1082,151978,-0.113870247
1091,152314,-0.120848144
1122,153400,-0.105957777
1167,155083,-0.101072973
1130,153623,-0.107897363
1105,152797,-0.134734783
1168,155092,-0.149958811
1102,152662,-0.111334275
1169,155109,-0.109055859
1150,154460,-0.122789349
1170,155118,-0.103917899
1084,152038,-0.107491585
1171,155127,-0.082762106
1166,154996,-0.095255867
1116,153204,-0.060520382
1172,155136,-0.068670223
1144,154228,-0.067150047
1173,155145,-0.107963322
1115,153151,-0.122640825
