SIRUTA,Year,Core,Periurban,Village,Transilvania,Valachia,Moldavia,PopAdj,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,Pop2011Offset,D_PIT_USDdef,D_Turnover_USDdef,LN_Pop2018_Pop2011,Locality Type,Longitude,Latitude
145998,2018,0,0,1,1,0,0,2920,0.017744705,0.011448197,0,0,0.137254902,0,0.078431373,0,0,0,0,0,0,0,0.137254902,0,0,0,0,0,0,0,0.078431373,7.925157512,0.75595064,0.029481423,0.054181383,Village,24.34019254,45.89815588
146012,2018,0,1,0,1,0,0,1914,0.017021277,0.011914894,0,0,0.029411765,0,0,0,0,0,0,0,0.014297061,0.029411765,0,0,0.007148531,0,0,0,0.099285147,0,0,7.61332498,-0.569270903,0,-0.056374408,Periurban,24.47337879,46.23088167
146021,2018,0,0,1,1,0,0,1621,0.040874525,0.025665399,0,0,0.185714286,0,0,0,0,0,0,0,0,0,0.185714286,0,0,0,0,0,0,0,0,7.402451521,0.137051721,0,-0.011652999,Village,24.17719265,45.5456038
146263,2018,1,0,0,0,0,1,112834,0.064107343,0.320017571,0.067368617,0.018957486,0.137979834,0.03800342,0.124565128,0.018957486,0,0,0,0.137979834,0,0,0,0.03800342,0,0,0,0.124565128,0,0,0,11.66537184,1.502359787,0.507466411,-0.031698845,Core,26.25732376,47.67244239
146281,2018,0,1,0,0,0,1,7848,0.012513034,0.231074035,0.002085506,0.001697793,0.155348048,0,0.078098472,0,0.018957486,0.001697793,0,0,0.137979834,0.155348048,0,0,0.03800342,0,0,0,0.124565128,0.078098472,0,8.730690366,-0.194586507,0.561218387,0.237323636,Periurban,26.29175624,47.61924852
146325,2018,0,1,0,0,0,1,5358,0.020961776,0.083538841,0,0,0.088495575,0,0.418879056,0,0.018957486,0,0,0,0.137979834,0.088495575,0,0,0.03800342,0,0,0,0.124565128,0.418879056,0,8.457655479,1.122325761,1.709647486,0.128690571,Periurban,26.234491,47.74228383
146370,2018,0,1,0,0,0,1,10701,0.01648,0.11152,0.0032,0,0.096341463,0.02195122,0.192682927,0,0.018957486,0,0,0,0.137979834,0.096341463,0,0,0.03800342,0.02195122,0,0,0.124565128,0.192682927,0,9.209640127,0.165712543,0.818315647,0.068452347,Periurban,26.35585593,47.63749135
146432,2018,0,1,0,0,0,1,11681,0.011886662,0.493849343,0.164892882,0.000206101,0.128812861,0.058120363,0.124072547,0,0.018957486,0.000206101,0,0,0.137979834,0.128812861,0,0,0.03800342,0.058120363,0,0,0.124565128,0.124072547,0,9.147932912,1.415806814,0.89397091,0.217785957,Periurban,26.18687281,47.64365014
146502,2018,1,0,0,0,0,1,19746,0.052796026,0.166079154,0.042060567,0.003377341,0.155664722,0.135400675,0.135093644,0.003377341,0,0,0,0.155664722,0,0,0,0.135400675,0,0,0,0.135093644,0,0,0,9.939240722,-1.915639312,0.164646521,-0.048534504,Core,25.56826873,47.51632417
146539,2018,1,0,0,0,0,1,31026,0.037850401,0.161314803,0.025707916,0.004429445,0.091330943,0.096815018,0.168740772,0.004429445,0,0,0,0.091330943,0,0,0,0.096815018,0,0,0,0.168740772,0,0,0,10.37751433,-0.177338611,0.414647325,-0.034933486,Core,26.31155224,47.46065073
146584,2018,1,0,0,0,0,1,16693,0.042973287,0.258614015,0.02303523,0.000298151,0.132379249,0.055456172,0.202742993,0.000298151,0,0,0,0.132379249,0,0,0,0.055456172,0,0,0,0.202742993,0,0,0,9.734832187,1.636532689,0.606628131,-0.012087438,Core,25.88355164,47.51788675
146628,2018,1,0,0,0,0,1,32372,0.042112299,0.228657372,0.090670359,0.007133421,0.110303831,0.229326288,0.120343461,0.007133421,0,0,0,0.110303831,0,0,0,0.229326288,0,0,0,0.120343461,0,0,0,10.37701621,0.271149146,0.527277834,0.008032919,Core,25.93158351,47.84373773
146655,2018,1,0,0,0,0,1,9347,0.042966361,0.077828746,0.042507645,0.014981273,0.080524345,0.222846442,0.071161049,0.014981273,0,0,0,0.080524345,0,0,0,0.222846442,0,0,0,0.071161049,0,0,0,9.182146638,1.198896732,0.255326827,-0.039335922,Core,26.07111775,47.95150097
146708,2018,1,0,0,0,0,1,2604,0.039481801,0.080814312,0.001850709,0,0.176767677,0,0.060606061,0,0,0,0,0.176767677,0,0,0,0,0,0,0,0.060606061,0,0,0,7.864035659,0.162616808,0.754062047,0.000768344,Core,25.84592162,47.7044654
146744,2018,1,0,0,0,0,1,16731,0.03621883,0.235137954,0.030624822,0,0.241130298,0.087598116,0.10266876,0,0,0,0,0.241130298,0,0,0,0.087598116,0,0,0,0.10266876,0,0,0,9.776392545,0.378003272,-0.445574136,-0.05137398,Core,25.35798968,47.36634412
146799,2018,0,1,0,0,0,1,4332,0.018708731,0.090608951,0,0,0.013422819,0,0.258389262,0,0.018957486,0,0,0,0.137979834,0.013422819,0,0,0.03800342,0,0,0,0.124565128,0.258389262,0,8.375860015,0.11465895,0.635359393,-0.002075407,Periurban,26.31176598,47.72763087
146860,2018,0,1,0,0,0,1,7670,0.01607717,0.075333027,0.000689022,0,0.057356608,0,0.112219451,0,0,0,0,0,0.052123552,0.057356608,0,0,0,0,0,0,0.088803089,0.112219451,0,8.922524957,0.272075748,1.084320255,0.022546937,Periurban,25.92186206,47.74254876
