SIRUTA,LN_Pop2018_Pop2011,PopAdj,Pop2011Offset,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,D_PIT_USDdef,D_Turnover_USDdef
99478,-0.047121718,5513,8.661985936,0.01595092,0.029141104,0,0,0.129251701,0,0.020408163,0,0,0,0,0,0,0,0.129251701,0,0,0,0,0,0,0,0.020408163,0.790051934,1.070056684
99539,-0.016863806,5292,8.590815331,0.01817602,0.007334184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172700416,0.094615867
99600,-0.021641509,3931,8.298290634,0.024231934,0.064906967,0,0,0.014563107,0,0.063106796,0,0,0,0,0,0,0,0.014563107,0,0,0,0,0,0,0,0.063106796,-0.439310053,0.644695771
99673,0.037103332,8209,8.975883061,0.031007752,0.013618269,0,0,0.028169014,0,0.103286385,0,0,0,0,0,0,0,0.028169014,0,0,0,0,0,0,0,0.103286385,0.310435259,0.807813269
99780,0.009123596,8258,9.009814111,0.025766153,0.032402889,0,0,0.05033557,0,0.130872483,0,0,0,0,0,0,0,0.05033557,0,0,0,0,0,0,0,0.130872483,0.411241477,-0.106127391
99879,0.03837351,4861,8.450625947,0.019692924,0.115487316,0,0,0.009876543,0,0.009876543,0,0,0,0,0,0,0,0.009876543,0,0,0,0,0,0,0,0.009876543,0.45255131,0.552595146
99922,0.035495775,2208,7.664346632,0.017719569,0.013867488,0.006933744,0.18,0.14,0,0,0,0,0,0.18,0,0,0,0.14,0,0,0,0,0,0,0,0,0.792427302,0.963648224
99968,-0.010344362,6155,8.735364401,0.017701385,0.018984094,0,0,0.104895105,0,0.006993007,0,0.001231696,0,0,0,0.078965376,0.104895105,0,0,0.143013549,0,0,0,0.301354865,0.006993007,0,0.609359489,0.492755538
100004,-0.015141683,4457,8.417372856,0.01715138,0.036539896,0.002237136,0.006666667,0.046666667,0,0.006666667,0,0,0,0.006666667,0,0,0,0.046666667,0,0,0,0,0,0,0,0.006666667,0.505538759,0.315328315
100086,-0.039992635,4632,8.480736654,0.018552876,0.011502783,0,0,0,0,0.172839506,0,0.001231696,0,0,0,0.078965376,0,0,0,0.143013549,0,0,0,0.301354865,0.172839506,0,0.031769453,-1.010641613
